ECO Code,Opening Name,First Moves,Win Rate for White (%),Win Rate for Black (%)
C60,Ruy López,1.e4 e5 2.Nf3 Nc6 3.Bb5,54.0,46.0
C50,Italian Game,1.e4 e5 2.Nf3 Nc6 3.Bc4,54.0,46.0
D06,Queen's Gambit,1.d4 d5 2.c4,58.0,42.0
B20,Sicilian Defense,1.e4 c5,48.5,51.5
E20,Nimzo-Indian Defense,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4,48.5,51.5
B06,Modern Defense,1.e4 g6,47.5,52.5
C42,Petrov's Defense,1.e4 e5 2.Nf3 Nf6,52.0,48.0
C30,King's Gambit,1.e4 e5 2.f4,49.0,51.0
C41,Philidor Defense,1.e4 e5 2.Nf3 d6,51.0,49.0
D02,Colle System,1.d4 d5 2.Nf3 Nf6,53.0,47.0
B23,Sicilian Grand Prix Attack,1.e4 c5 2.f4,50.0,50.0
C44,Scotch Game,1.e4 e5 2.d4 exd4,51.0,49.0
C00,French Defense,1.e4 e6,47.0,53.0
C55,Two Knights Defense,1.e4 e5 2.Nf3 Nc6 3.Nc3,55.0,45.0
D10,Slav Defense,1.d4 d5 2.c4 c6,56.0,44.0
B40,Sicilian Paulsen,1.e4 c5 2.Nf3 e6,49.0,51.0
E60,King's Indian Defense,1.d4 Nf6 2.c4 g6,48.0,52.0
D30,Tarrasch Defense,1.d4 d5 2.c4 e6 3.Nc3 c5,52.0,48.0
A40,Englund Gambit,1.d4 e5,45.0,55.0
C65,Berlin Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6,57.0,43.0
