Movie Title,Release Year,Box Office Revenue (in million USD),Genre,IMDB Rating,Director,Main Actors,Production Budget (in million USD)
Movie 1,2008,1821,Horror,7.2,Director 8,"Actor 4, Actor 10",375
Movie 2,1997,961,Thriller,6.0,Director 7,"Actor 2, Actor 6",278
Movie 3,1994,214,Action,6.9,Director 10,"Actor 18, Actor 15",279
Movie 4,2017,1412,Sci-Fi,6.7,Director 12,"Actor 11, Actor 7",444
Movie 5,2012,300,Animation,6.2,Director 20,"Actor 19, Actor 8",415
Movie 6,1992,1157,Romance,7.8,Director 16,"Actor 16, Actor 1",51
Movie 7,2013,526,Animation,8.6,Director 11,"Actor 6, Actor 6",257
Movie 8,2013,1971,Thriller,7.2,Director 2,"Actor 19, Actor 12",80
Movie 9,2004,1655,Drama,5.5,Director 4,"Actor 11, Actor 6",238
Movie 10,1992,334,Thriller,9.0,Director 1,"Actor 7, Actor 5",232
Movie 11,1993,1148,Horror,5.0,Director 14,"Actor 18, Actor 5",228
Movie 12,2009,1305,Drama,6.5,Director 20,"Actor 2, Actor 5",121
Movie 13,2005,1971,Romance,8.7,Director 6,"Actor 17, Actor 14",408
Movie 14,2015,1872,Sci-Fi,6.8,Director 2,"Actor 10, Actor 9",368
Movie 15,2013,455,Drama,9.3,Director 11,"Actor 9, Actor 8",187
Movie 16,2001,186,Thriller,5.1,Director 4,"Actor 7, Actor 11",289
Movie 17,2005,505,Comedy,8.2,Director 11,"Actor 17, Actor 10",37
Movie 18,2015,1297,Horror,8.0,Director 10,"Actor 9, Actor 13",234
Movie 19,2009,1574,Thriller,8.9,Director 2,"Actor 18, Actor 12",86
Movie 20,2017,343,Thriller,8.9,Director 17,"Actor 1, Actor 14",83
Movie 21,1993,1918,Sci-Fi,9.4,Director 9,"Actor 15, Actor 7",300
Movie 22,1990,1888,Drama,5.1,Director 12,"Actor 10, Actor 12",120
Movie 23,2006,602,Sci-Fi,5.7,Director 10,"Actor 13, Actor 3",175
Movie 24,2020,436,Romance,7.3,Director 9,"Actor 5, Actor 10",371
Movie 25,2011,234,Comedy,8.3,Director 3,"Actor 1, Actor 19",187
Movie 26,2001,1822,Comedy,8.7,Director 13,"Actor 13, Actor 20",392
Movie 27,2010,1778,Drama,8.4,Director 11,"Actor 18, Actor 9",426
Movie 28,2021,88,Thriller,8.4,Director 9,"Actor 17, Actor 12",313
Movie 29,2020,204,Action,8.3,Director 7,"Actor 5, Actor 11",409
Movie 30,2017,334,Horror,7.5,Director 2,"Actor 14, Actor 15",355
Movie 31,2022,519,Drama,8.1,Director 10,"Actor 1, Actor 15",498
Movie 32,1994,729,Romance,9.4,Director 18,"Actor 13, Actor 16",34
Movie 33,2000,273,Romance,7.9,Director 11,"Actor 6, Actor 9",223
Movie 34,2018,518,Drama,5.5,Director 4,"Actor 14, Actor 9",189
Movie 35,2004,469,Animation,5.7,Director 5,"Actor 19, Actor 17",321
Movie 36,2013,1672,Comedy,7.2,Director 18,"Actor 13, Actor 1",79
Movie 37,1999,1560,Thriller,7.6,Director 4,"Actor 10, Actor 2",77
Movie 38,2023,1143,Romance,7.2,Director 18,"Actor 17, Actor 6",134
Movie 39,1996,1007,Thriller,5.4,Director 16,"Actor 18, Actor 13",121
Movie 40,1992,432,Action,7.9,Director 4,"Actor 14, Actor 16",146
Movie 41,2023,1414,Comedy,7.5,Director 13,"Actor 6, Actor 10",290
Movie 42,2007,383,Sci-Fi,7.4,Director 14,"Actor 3, Actor 1",171
Movie 43,2008,1645,Romance,5.7,Director 17,"Actor 9, Actor 9",317
Movie 44,2011,1345,Romance,7.1,Director 1,"Actor 6, Actor 8",98
Movie 45,2005,1163,Thriller,5.5,Director 18,"Actor 18, Actor 8",491
Movie 46,1990,1203,Romance,7.5,Director 3,"Actor 4, Actor 17",137
Movie 47,2012,1635,Drama,7.3,Director 13,"Actor 16, Actor 20",284
Movie 48,2008,539,Action,8.0,Director 6,"Actor 3, Actor 16",244
Movie 49,2007,1377,Sci-Fi,6.5,Director 16,"Actor 11, Actor 20",288
Movie 50,2023,264,Drama,8.7,Director 2,"Actor 20, Actor 2",367
Movie 51,2009,836,Thriller,8.9,Director 1,"Actor 14, Actor 20",183
Movie 52,2005,1540,Drama,6.3,Director 19,"Actor 6, Actor 17",78
Movie 53,2003,333,Horror,7.6,Director 2,"Actor 10, Actor 18",291
Movie 54,2003,1494,Thriller,6.6,Director 7,"Actor 4, Actor 12",134
Movie 55,2017,1563,Horror,6.5,Director 12,"Actor 1, Actor 11",62
Movie 56,2016,1250,Drama,8.1,Director 9,"Actor 8, Actor 17",471
Movie 57,2010,504,Comedy,6.2,Director 15,"Actor 2, Actor 8",288
Movie 58,1999,100,Comedy,7.0,Director 14,"Actor 7, Actor 20",327
Movie 59,1993,70,Horror,8.6,Director 6,"Actor 17, Actor 5",245
Movie 60,2023,1482,Drama,6.8,Director 17,"Actor 11, Actor 13",403
Movie 61,1992,1348,Comedy,6.9,Director 11,"Actor 13, Actor 1",255
Movie 62,1994,205,Horror,7.9,Director 8,"Actor 12, Actor 17",48
Movie 63,2021,538,Comedy,7.8,Director 9,"Actor 12, Actor 15",464
Movie 64,2002,1028,Drama,5.5,Director 7,"Actor 7, Actor 10",433
Movie 65,2000,1125,Animation,5.6,Director 9,"Actor 8, Actor 1",172
Movie 66,2011,1352,Action,7.5,Director 1,"Actor 16, Actor 8",113
Movie 67,1997,1767,Animation,6.9,Director 6,"Actor 1, Actor 13",184
Movie 68,1994,978,Horror,9.1,Director 14,"Actor 15, Actor 5",422
Movie 69,2019,1842,Romance,6.9,Director 20,"Actor 8, Actor 19",317
Movie 70,1990,662,Action,5.7,Director 10,"Actor 18, Actor 10",81
Movie 71,2016,1507,Romance,6.1,Director 19,"Actor 2, Actor 1",246
Movie 72,2011,199,Romance,7.1,Director 14,"Actor 14, Actor 13",415
Movie 73,2017,1928,Sci-Fi,7.7,Director 19,"Actor 17, Actor 15",296
Movie 74,2012,291,Comedy,5.5,Director 1,"Actor 7, Actor 12",324
Movie 75,2001,1833,Drama,9.4,Director 8,"Actor 14, Actor 8",195
Movie 76,1991,50,Romance,8.1,Director 20,"Actor 2, Actor 13",276
Movie 77,2009,778,Comedy,6.1,Director 13,"Actor 13, Actor 6",157
Movie 78,2000,668,Animation,8.5,Director 10,"Actor 4, Actor 5",440
Movie 79,2011,1782,Sci-Fi,8.2,Director 17,"Actor 13, Actor 14",255
Movie 80,2016,662,Romance,6.3,Director 9,"Actor 14, Actor 14",400
Movie 81,1993,1104,Romance,9.4,Director 13,"Actor 7, Actor 6",189
Movie 82,2023,559,Action,9.1,Director 6,"Actor 16, Actor 10",365
Movie 83,2023,60,Horror,5.1,Director 17,"Actor 9, Actor 14",315
Movie 84,1999,1368,Romance,7.6,Director 17,"Actor 2, Actor 15",101
