Symptom,Condition,Severity,Duration,Possible Causes,Treatment,Age Group,Region
Fatigue,Chronic Fatigue Syndrome,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Tropical
Fatigue,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Tropical
Shortness of breath,Pneumonia,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Cough,Flu,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Children,Tropical
Shortness of breath,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Headache,Sinusitis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Shortness of breath,Pneumonia,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Fatigue,Anemia,Mild,2 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Adults,Seasonal
Nausea,Food Poisoning,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Seasonal
Fatigue,Anemia,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Seasonal
Runny Nose,Cold,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Seasonal
Vomiting,Gastroenteritis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Cold climates
Fever,Malaria,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Cough,Cold,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Seasonal
Fatigue,Chronic Fatigue Syndrome,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Global
Fatigue,Anemia,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Adults,Seasonal
Shortness of breath,Asthma,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Sore Throat,Tonsillitis,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Global
Body Ache,COVID-19,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Cold climates
Body Ache,Flu,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Cold climates
Headache,Sinusitis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Global
Body Ache,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Global
Fever,Flu,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Adults,Cold climates
Cough,Flu,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Children,Tropical
Fever,Malaria,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Global
Nausea,Food Poisoning,Mild,2 days,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Tropical
Fatigue,Anemia,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Cold climates
Vomiting,Food Poisoning,Severe,1 week,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Global
Vomiting,Gastroenteritis,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Cold climates
Body Ache,COVID-19,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Tropical
Fever,Malaria,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Global
Fatigue,COVID-19,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Vomiting,Food Poisoning,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Tropical
Fever,Flu,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Adults,Seasonal
Sore Throat,Cold,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Cold climates
Runny Nose,Cold,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Global
Fever,Flu,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Global
Headache,Sinusitis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Runny Nose,Cold,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Cold climates
Fatigue,Anemia,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Adults,Global
Headache,Sinusitis,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Body Ache,Chronic Fatigue Syndrome,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Shortness of breath,COVID-19,Mild,2 days,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Cold climates
Headache,Sinusitis,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Headache,COVID-19,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Cold climates
Body Ache,Chronic Fatigue Syndrome,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Fatigue,Chronic Fatigue Syndrome,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
