Restaurant Name,Cuisine,Location,Rating,Price Range,Delivery Available,Meals Available,Address,Contact
Taco Fiesta,Italian,Chicago,2,$$,No,Lunch,"USCGC Casey
FPO AP 32584",001-492-466-7363x17673
Café Mocha,French,New York,1,$$,No,Lunch,"7310 Brian Parkways Suite 902
Port Joshuamouth, MD 65187",001-619-554-7672x064
Café Mocha,Italian,Boston,5,$$$,No,Dinner,"549 Kathryn Lights Apt. 543
New Elizabethstad, VT 92154",(874)321-5045x3380
Green Bowl,Japanese,Chicago,5,$$$$,No,Brunch,"PSC 5703, Box 1310
APO AP 67472",+1-750-335-8217x7496
Sushi World,Japanese,Seattle,5,$$$$,Yes,Lunch,"USNS Booth
FPO AA 99078",880.581.0493x332
Café Mocha,Indian,Chicago,2,$$$,No,Breakfast,"6071 Jon Gardens
Marcfort, ID 17763",(692)549-6810x05831
Sushi World,Japanese,Washington,1,$$,Yes,Dinner,"28794 Smith Islands Apt. 801
Farmermouth, SC 22592",+1-757-297-9252x7239
Flavors of China,Mediterranean,Dallas,2,$$$$,No,Brunch,"521 Navarro Highway
Beckerchester, ID 53055",001-351-758-8915
Green Bowl,American,Houston,4,$$$,Yes,Breakfast,"532 Marshall Brooks
Lake Feliciaborough, MP 53085",001-463-443-5504x38893
Flavors of China,Mediterranean,Los Angeles,3,$$$,No,Dinner,"360 Lisa Row
Gilbertchester, MP 03789",+1-349-529-8289x507
Café Mocha,Indian,Los Angeles,5,$$,Yes,Breakfast,"170 Weaver Hills
New Andreaburgh, VA 90116",(489)361-6875x576
Urban Grill,Chinese,San Francisco,1,$$$$,No,Brunch,"Unit 8703 Box 9371
DPO AE 45550",537.735.8815x824
Urban Grill,Chinese,Seattle,2,$,Yes,Breakfast,"2881 Moss Oval
Port John, VA 85918",909-855-4873
Taco Fiesta,Indian,Dallas,4,$$$,Yes,Breakfast,"9177 Mitchell Passage
Lake Brent, FM 68235",278-373-3027x21309
Flavors of China,Chinese,Houston,2,$$$$,Yes,Brunch,"206 Christina Oval
North Deborahmouth, MH 36455",485.828.2806
Sushi World,Italian,Dallas,5,$,No,Brunch,"5841 Andrew Coves Apt. 634
Thomasview, WV 51303",(514)534-5497
Spice Paradise,Thai,Houston,3,$$,No,Lunch,"91759 Joshua Islands
New Carolburgh, MO 98981",001-670-386-9779x972
